HORIZON_MONTHS,N_VALID,MEAN,STD,MIN,MAX
0,4418,0.008797332094111774,0.06619872362735187,-0.4084249556502282,0.45104253035070907
1,4370,0.017704857955631648,0.09393520206811648,-0.497667200542362,0.6374456820906136
2,4322,0.027189130907929755,0.1182642917329621,-0.5457102885231182,0.8924302141025895
3,4274,0.0366030673401983,0.14256712785889966,-0.5687583671276968,0.974639696879217
4,4226,0.045797514774131964,0.16727024251062186,-0.6329545654924009,1.3429363115481934
5,4178,0.055339362698272616,0.19249798650791985,-0.6329545654924009,1.8492678765558144
6,4130,0.06482788221315576,0.21619115090097504,-0.6511364086220126,2.046758596194314
7,4082,0.07340593994100211,0.23944225740291666,-0.6963543242546684,2.44340009028241
8,4034,0.0813565508533837,0.2585931102692689,-0.6963543242546684,3.0768359772347305
9,3986,0.08879982338971303,0.2743366937770371,-0.7042254731024857,3.474751222721772
10,3938,0.09684312551045682,0.2860621073242806,-0.7325133365140448,3.0467121744519625
11,3890,0.10570097927262377,0.30121600459174813,-0.7460840899120436,2.6897984726082576
12,3842,0.11410248533839411,0.31693781423567724,-0.7838829360563527,2.685765090270496
