CHANNEL,CHANNEL_ROLE,SORT_METHOD,SAMPLE_DESIGN,N_MONTHS,MEAN_MONTHLY_HML,ANNUALIZED_HML_MEAN,ANNUALIZED_HML_VOLATILITY,SHARPE_NO_RF,VAR_5,CVAR_5,DOWNSIDE_DEVIATION,MAX_DRAWDOWN
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2.010600495001781e-05,0.0002412720594002137,0.06269491533418259,0.00384835130750495,-0.029628083604072878,-0.03924247432912974,0.012890816275793507,-0.2708508362910944
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,29,-0.004222552431925251,-0.050670629183103014,0.06818709471788663,-0.7431117192006017,-0.035910519726801295,-0.04170746138479316,0.01594297123707129,-0.1738775016961508
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,57,-0.0064456242636527486,-0.07734749116383298,0.13319830201653987,-0.5806942730713517,-0.06584199485568966,-0.07667119565711657,0.03010622444520567,-0.4217969803475803
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,29,-0.007748024714581905,-0.09297629657498285,0.11888111773828715,-0.7820947375315489,-0.06491451848183635,-0.07581994021643312,0.02837439953422983,-0.28815078621116574
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,-0.001000720292061705,-0.01200864350474046,0.12563094126813437,-0.09558667143240124,-0.06627378009046378,-0.07867957820680589,0.026372797224460582,-0.5054176356273288
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,29,-0.008080019885789274,-0.09696023862947128,0.135447838473386,-0.7158492872407327,-0.0803075049402463,-0.08726809040541628,0.03194862573319587,-0.3021080866764213
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,51,-0.010828092520603343,-0.1299371102472401,0.27796463653120196,-0.467459141093491,-0.1386402513924434,-0.16086692978088168,0.06103271697654835,-0.6929063041833582
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,29,-0.013546831712963411,-0.16256198055556093,0.26442927111596276,-0.6147654526653027,-0.1406520353599979,-0.1532370017958466,0.059142809139914786,-0.5022825701839303
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,-0.002597846973225734,-0.03117416367870881,0.06550407412318528,-0.4759118283251126,-0.03621022212095296,-0.04491606430508065,0.015318264251101176,-0.3585732869849926
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,29,-0.007604044833841112,-0.09124853800609335,0.07643070751279459,-1.1938727374834026,-0.0473338249729497,-0.05403408984195824,0.020406358463732864,-0.21191578021033675
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,78,-0.0032761350959254944,-0.03931362115110593,0.11970045980957199,-0.32843333445543016,-0.06366777524207244,-0.08090675799480036,0.02674327190733052,-0.519445040217263
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,29,-0.01186985179123468,-0.14243822149481616,0.12856342758531542,-1.1079217797012553,-0.08349994984947484,-0.09067508802731525,0.0336637422006791,-0.3290021846526773
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,0.004030984127262582,0.048371809527150984,0.05735051605579661,0.8434415739187038,-0.02004839456495994,-0.026525835455553225,0.00901962710560958,-0.11925221221704707
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,29,0.005424558622560529,0.06509470347072635,0.05671622026241289,1.1477264029504812,-0.01913801719713291,-0.024274749179468313,0.008266097413638825,-0.035777856345110104
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,72,0.005543030053261328,0.06651636063913594,0.08326810405225264,0.7988216063787809,-0.03187964994737792,-0.03849749894612081,0.013874007921914731,-0.16259688631031477
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,34,0.00874670594912124,0.10496047138945488,0.08601411345548887,1.2202703390504686,-0.03183214074164907,-0.034502207235449556,0.012495201263940886,-0.08274501329729733
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,0.0023068516853268373,0.027682220223922048,0.04373529541483431,0.6329491995275897,-0.01550883742917483,-0.021295149730132166,0.007088481061184071,-0.09777365552159178
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,29,0.0051955611469638955,0.062346733763566746,0.05038995648606877,1.2372849296030577,-0.01559345695647956,-0.019689187594287443,0.006908091023195138,-0.04094128410895004
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,90,0.002798284897033518,0.033579418764402215,0.0779158193670274,0.4309704888839612,-0.03080590683906943,-0.04359276648700061,0.0141011856441017,-0.20137897438561725
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,29,0.008381155900874156,0.10057387081048988,0.08287469161848858,1.2135655511513572,-0.028325480447171286,-0.0359891054861749,0.012066301184122451,-0.06492593188180174
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,0.002713105367505142,0.03255726441006171,0.059018439813792206,0.5516456299553566,-0.02319148478657219,-0.036463391872747775,0.010828517321217503,-0.11570004056152972
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,29,0.0014608836847592919,0.0175306042171115,0.0528429732120266,0.3317490131899256,-0.01882963248202066,-0.01960211833074195,0.008732174816163965,-0.05388583480033249
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,107,0.0033131979826517117,0.03975837579182054,0.07576796859260332,0.5247385739691306,-0.03157506237305669,-0.046798429110198554,0.013905786318523503,-0.15447232653431808
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,29,0.0012593493967611332,0.015112192761133597,0.06954672726351825,0.2172955271334661,-0.022042234160565447,-0.023891148442473552,0.011748245320729564,-0.0791214228874908
