CHANNEL,CHANNEL_ROLE,OUTCOME,SAMPLE_DESIGN,N_MONTHS,DATE_START,DATE_END,N_ETFS_MIN,N_ETFS_MAX,MEAN_CROSS_SECTION_R2
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,2018-10-31,2025-12-31,5,14,0.46118623190561836
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,14,14,0.4491746172430831
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,MIN10_CROSS_SECTION,57,2021-04-30,2025-12-31,10,14,0.4424754885460566
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,87,2018-10-31,2025-12-31,5,14,0.48825555398368903
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,14,14,0.4314318744678876
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,MIN10_CROSS_SECTION,57,2021-04-30,2025-12-31,10,14,0.44910454876243905
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,5,11,0.5381177957313279
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,11,11,0.5375003476143064
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,2023-03-31,2025-12-31,10,11,0.4961334604764498
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,5,11,0.5361486147824296
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,11,11,0.4563023338904775
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,FACTOR_ADJUSTED_RETURN,MIN10_CROSS_SECTION,34,2023-03-31,2025-12-31,10,11,0.4335356807001725
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,2018-10-31,2025-12-31,5,14,0.452137496805675
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,14,14,0.4323778793396834
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,MIN10_CROSS_SECTION,57,2021-04-30,2025-12-31,10,14,0.4233208806909803
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,87,2018-10-31,2025-12-31,5,14,0.4723580813559348
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,14,14,0.404043318544796
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,MIN10_CROSS_SECTION,57,2021-04-30,2025-12-31,10,14,0.40343093377817857
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,5,13,0.36797112328383264
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,13,13,0.22388804517037603
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,2022-12-31,2025-12-31,10,13,0.25529007404457793
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,5,13,0.2717415253833139
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,13,13,0.16798030864344435
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,FACTOR_ADJUSTED_RETURN,MIN10_CROSS_SECTION,37,2022-12-31,2025-12-31,10,13,0.18084621134281353
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,AVAILABLE_CROSS_SECTION,107,2017-02-28,2025-12-31,5,23,0.21335124552241877
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,23,23,0.18481762462163479
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,2019-07-31,2025-12-31,10,23,0.16348651172038758
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,107,2017-02-28,2025-12-31,5,23,0.2042418702684308
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,23,23,0.13883954697912207
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,FACTOR_ADJUSTED_RETURN,MIN10_CROSS_SECTION,78,2019-07-31,2025-12-31,10,23,0.1296336190626733
PCA_COMPONENT_1,PCA_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,75,2019-10-31,2025-12-31,5,9,0.40401045413042513
PCA_COMPONENT_1,PCA_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,9,9,0.22391500885001003
PCA_COMPONENT_1,PCA_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,75,2019-10-31,2025-12-31,5,9,0.29292695493870646
PCA_COMPONENT_1,PCA_ROBUSTNESS,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,9,9,0.17557878572157326
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,ETF_RETURN,AVAILABLE_CROSS_SECTION,107,2017-02-28,2025-12-31,5,24,0.1585904079073417
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,ETF_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,24,24,0.13259337195994098
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,2019-07-31,2025-12-31,10,24,0.13881446177665532
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,FACTOR_ADJUSTED_RETURN,AVAILABLE_CROSS_SECTION,107,2017-02-28,2025-12-31,5,24,0.1668411521965323
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,FACTOR_ADJUSTED_RETURN,BALANCED_COMMON_WINDOW,29,2023-08-31,2025-12-31,24,24,0.10074921409440328
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,FACTOR_ADJUSTED_RETURN,MIN10_CROSS_SECTION,78,2019-07-31,2025-12-31,10,24,0.12387926351139508
