SHOCK,CHANNEL,CHANNEL_ROLE,N_ETFS_MIN,N_DATES_MIN,H0_COEFFICIENT,TROUGH_HORIZON,TROUGH_COEFFICIENT,PEAK_HORIZON,PEAK_COEFFICIENT,H12_COEFFICIENT,FIRST_NONNEGATIVE_HORIZON_AFTER_NEGATIVE_H0,N_RAW_P_LT_05,N_BH_Q_WITHIN_CHANNEL_LT_10,ANY_BONFERRONI_BAND_EXCLUDES_ZERO,DYNAMIC_PATTERN,LOO_MIN_SIGN_PRESERVATION,LOO_MIN_P_LT_10_RATE,LOO_MAX_CHANGE_SE,LOO_ANY_SIGN_SENSITIVE,STYLE_H9_H12_SIGN_RATE,STYLE_MIN_P,STYLE_MEDIAN_COEFFICIENT,TRAJECTORY_GRADE
CPU_AND_VIX_STRESS,EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,11,180,-0.0161243579443749,10,-0.1091906423167911,0,-0.0161243579443749,-0.0626265051728553,,0,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE,0.9090909090909092,0.1818181818181818,2.340079360098215,True,,,,DESCRIPTIVE_OR_NULL
CPU_AND_VIX_STRESS,GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,13,180,-0.0128749202452363,5,-0.0281326416946096,10,0.011805400062806,0.0110563964336524,9.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND,0.7692307692307693,0.0,0.8151423969682097,True,,,,DESCRIPTIVE_OR_NULL
CPU_AND_VIX_STRESS,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,23,180,-0.0071421480458757,5,-0.0076885172638432,10,0.0339503433135282,0.0149663742484295,2.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND,0.8695652173913043,0.0,1.4517339826933011,True,,,,DESCRIPTIVE_OR_NULL
CPU_AND_VIX_STRESS,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,24,180,-0.0121426301375162,5,-0.0416640622439172,12,0.0004702044777858,0.0004702044777858,12.0,1,0,False,NEGATIVE_IMPACT_THEN_REBOUND,0.5,0.0416666666666666,2.5945330763116443,True,,,,SUGGESTIVE_DYNAMIC_SUPPORT
CPU_VIX_CONTINUOUS,EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,11,180,-0.0065355912218848,11,-0.0406268387312509,0,-0.0065355912218848,-0.0321143037263169,,4,1,False,PERSISTENT_CUMULATIVE_DOWNSIDE,0.9090909090909092,0.0,2.322594319098092,True,1.0,0.0815222826720299,-0.0238628000924066,STRONG_DYNAMIC_SUPPORT
CPU_VIX_CONTINUOUS,GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,13,180,-0.0016738696249662,7,-0.0102163128687989,3,-0.001573741470984,-0.0077437974625143,,0,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE,0.9230769230769232,0.0769230769230769,1.1188107630450943,True,1.0,0.1646164925460905,-0.00756317685663595,DESCRIPTIVE_OR_NULL
CPU_VIX_CONTINUOUS,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,23,180,-9.613480630344334e-05,7,-0.0091078071690152,10,3.073753012254531e-05,-0.0034817924835048,10.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND,0.9130434782608696,0.0434782608695652,1.2339238392764422,True,1.0,0.4393187416890207,-0.0045079626022565,DESCRIPTIVE_OR_NULL
CPU_VIX_CONTINUOUS,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,24,180,-0.0033958632930821,11,-0.0129549470817148,3,-0.0029108004838692,-0.0096213293864217,,2,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE,0.9583333333333334,0.0,2.4917604754077387,True,1.0,0.1378751844655996,-0.0083902209974333,STRONG_DYNAMIC_SUPPORT
EXTREME_CPU_REGIME,EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,11,180,0.0068787523222196,0,0.0068787523222196,8,0.0930408117323586,0.0591236977220088,,5,4,False,NO_CLEAR_UNIDIRECTIONAL_PATTERN,1.0,0.0909090909090909,2.07475056411383,False,1.0,0.0105348484042659,0.08557580844139906,STRONG_DYNAMIC_SUPPORT
EXTREME_CPU_REGIME,GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,13,180,-0.0056594873346136,12,-0.0634705368053676,0,-0.0056594873346136,-0.0634705368053676,,6,6,True,PERSISTENT_CUMULATIVE_DOWNSIDE,1.0,0.6923076923076923,1.327814004611185,False,1.0,0.0012141389697075,-0.0515357114626003,TRAJECTORY_CONFIRMED
EXTREME_CPU_REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,23,180,-0.0074078433164877,12,-0.0822172354375126,0,-0.0074078433164877,-0.0822172354375126,,12,13,True,PERSISTENT_CUMULATIVE_DOWNSIDE,1.0,0.9565217391304348,1.2639741649956024,False,1.0,0.0001244966672094,-0.07515878806145579,TRAJECTORY_CONFIRMED
EXTREME_CPU_REGIME,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,24,180,4.612363728703599e-05,12,-0.0045315602461135,8,0.0244010167719872,-0.0045315602461135,,0,0,False,DELAYED_DOWNSIDE,0.8333333333333334,0.0,1.163704575142708,True,1.0,0.457947965266358,0.01028268898697185,DESCRIPTIVE_OR_NULL
